"Förvärvsarbetande nattbefolkning 16- år by År, Delområde, Arbetsdelområde and Kön"

"År"	"Delområde"	"Arbetsdelområde"	"Kön"	Förvärvsarbetande nattbefolkning 16- år
"2001"	"Västerslätt"	"Ersboda/Ersmark"	"Totalt"	51
"2001"	"Västerslätt"	"Backen"	"Totalt"	124
"2001"	"Västerslätt"	"Umeå västra landsbygd"	"Totalt"	8
"2001"	"Västerslätt"	"Tavelsjö"	"Totalt"	0
"2001"	"Västerslätt"	"Teg"	"Totalt"	91
"2001"	"Västerslätt"	"Umeå södra landsbygd"	"Totalt"	3
"2001"	"Västerslätt"	"Östra stadsdelen"	"Totalt"	23
"2001"	"Västerslätt"	"Marieområdet"	"Totalt"	27
"2001"	"Västerslätt"	"Universitetsområdet"	"Totalt"	143
"2001"	"Västerslätt"	"Tomteboområdet"	"Totalt"	5
"2001"	"Västerslätt"	"Holmsund"	"Totalt"	12
"2001"	"Västerslätt"	"Hörnefors"	"Totalt"	1
"2001"	"Västerslätt"	"Sävar"	"Totalt"	6
"2001"	"Västerslätt"	"Holmön"	"Totalt"	0
"2001"	"Västerslätt"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Västerslätt"	"Uppgift saknas"	"Totalt"	0
"2001"	"Västerslätt"	"Ospecificerad arbetsplats"	"Totalt"	22
"2001"	"Västerslätt"	"Arbetsplatsen saknar NYKO"	"Totalt"	3
"2001"	"Västerslätt"	"Växlande arbetskraft"	"Totalt"	1
"2001"	"Västerslätt"	"Totalt"	"Totalt"	929
"2001"	"Västerslätt"	"I20-området"	"Totalt"	..
"2001"	"Ersboda/Ersmark"	"Berghem"	"Totalt"	36
"2001"	"Ersboda/Ersmark"	"Haga/Sandbacka"	"Totalt"	110
"2001"	"Ersboda/Ersmark"	"Centrala staden"	"Totalt"	890
"2001"	"Ersboda/Ersmark"	"Västerslätt"	"Totalt"	177
"2001"	"Ersboda/Ersmark"	"Ersboda/Ersmark"	"Totalt"	843
"2001"	"Ersboda/Ersmark"	"Backen"	"Totalt"	262
"2001"	"Ersboda/Ersmark"	"Umeå västra landsbygd"	"Totalt"	40
"2001"	"Ersboda/Ersmark"	"Tavelsjö"	"Totalt"	5
"2001"	"Ersboda/Ersmark"	"Teg"	"Totalt"	365
"2001"	"Ersboda/Ersmark"	"Umeå södra landsbygd"	"Totalt"	16
"2001"	"Ersboda/Ersmark"	"Östra stadsdelen"	"Totalt"	129
"2001"	"Ersboda/Ersmark"	"Marieområdet"	"Totalt"	222
"2001"	"Ersboda/Ersmark"	"Universitetsområdet"	"Totalt"	718
"2001"	"Ersboda/Ersmark"	"Tomteboområdet"	"Totalt"	21
"2001"	"Ersboda/Ersmark"	"Holmsund"	"Totalt"	47
"2001"	"Ersboda/Ersmark"	"Hörnefors"	"Totalt"	14
"2001"	"Ersboda/Ersmark"	"Sävar"	"Totalt"	64
"2001"	"Ersboda/Ersmark"	"Holmön"	"Totalt"	0
"2001"	"Ersboda/Ersmark"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Ersboda/Ersmark"	"Uppgift saknas"	"Totalt"	0
"2001"	"Ersboda/Ersmark"	"Ospecificerad arbetsplats"	"Totalt"	87
"2001"	"Ersboda/Ersmark"	"Arbetsplatsen saknar NYKO"	"Totalt"	28
"2001"	"Ersboda/Ersmark"	"Växlande arbetskraft"	"Totalt"	6
"2001"	"Ersboda/Ersmark"	"Totalt"	"Totalt"	4080
"2001"	"Ersboda/Ersmark"	"I20-området"	"Totalt"	..
"2001"	"Backen"	"Berghem"	"Totalt"	26
"2001"	"Backen"	"Haga/Sandbacka"	"Totalt"	81
"2001"	"Backen"	"Centrala staden"	"Totalt"	961
"2001"	"Backen"	"Västerslätt"	"Totalt"	172
"2001"	"Backen"	"Ersboda/Ersmark"	"Totalt"	178
"2001"	"Backen"	"Backen"	"Totalt"	900
"2001"	"Backen"	"Umeå västra landsbygd"	"Totalt"	76
"2001"	"Backen"	"Tavelsjö"	"Totalt"	13
"2001"	"Backen"	"Teg"	"Totalt"	337
"2001"	"Backen"	"Umeå södra landsbygd"	"Totalt"	12
"2001"	"Backen"	"Östra stadsdelen"	"Totalt"	107
"2001"	"Backen"	"Marieområdet"	"Totalt"	101
"2001"	"Backen"	"Universitetsområdet"	"Totalt"	564
"2001"	"Backen"	"Tomteboområdet"	"Totalt"	13
"2001"	"Backen"	"Holmsund"	"Totalt"	57
"2001"	"Backen"	"Hörnefors"	"Totalt"	13
"2001"	"Backen"	"Sävar"	"Totalt"	26
"2001"	"Backen"	"Holmön"	"Totalt"	0
"2001"	"Backen"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Backen"	"Uppgift saknas"	"Totalt"	0
"2001"	"Backen"	"Ospecificerad arbetsplats"	"Totalt"	89
"2001"	"Backen"	"Arbetsplatsen saknar NYKO"	"Totalt"	19
"2001"	"Backen"	"Växlande arbetskraft"	"Totalt"	3
"2001"	"Backen"	"Totalt"	"Totalt"	3748
"2001"	"Backen"	"I20-området"	"Totalt"	..
"2001"	"Umeå västra landsbygd"	"Berghem"	"Totalt"	10
"2001"	"Umeå västra landsbygd"	"Haga/Sandbacka"	"Totalt"	41
"2001"	"Umeå västra landsbygd"	"Centrala staden"	"Totalt"	287
"2001"	"Umeå västra landsbygd"	"Västerslätt"	"Totalt"	71
"2001"	"Umeå västra landsbygd"	"Ersboda/Ersmark"	"Totalt"	93
"2001"	"Umeå västra landsbygd"	"Backen"	"Totalt"	202
"2001"	"Umeå västra landsbygd"	"Umeå västra landsbygd"	"Totalt"	221
"2001"	"Umeå västra landsbygd"	"Tavelsjö"	"Totalt"	10
"2001"	"Umeå västra landsbygd"	"Teg"	"Totalt"	182
"2001"	"Umeå västra landsbygd"	"Umeå södra landsbygd"	"Totalt"	8
"2001"	"Umeå västra landsbygd"	"Östra stadsdelen"	"Totalt"	43
"2001"	"Umeå västra landsbygd"	"Marieområdet"	"Totalt"	46
"2001"	"Umeå västra landsbygd"	"Universitetsområdet"	"Totalt"	235
"2001"	"Umeå västra landsbygd"	"Tomteboområdet"	"Totalt"	3
"2001"	"Umeå västra landsbygd"	"Holmsund"	"Totalt"	20
"2001"	"Umeå västra landsbygd"	"Hörnefors"	"Totalt"	4
"2001"	"Umeå västra landsbygd"	"Sävar"	"Totalt"	13
"2001"	"Umeå västra landsbygd"	"Holmön"	"Totalt"	0
"2001"	"Umeå västra landsbygd"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Umeå västra landsbygd"	"Uppgift saknas"	"Totalt"	0
"2001"	"Umeå västra landsbygd"	"Ospecificerad arbetsplats"	"Totalt"	48
"2001"	"Umeå västra landsbygd"	"Arbetsplatsen saknar NYKO"	"Totalt"	7
"2001"	"Umeå västra landsbygd"	"Växlande arbetskraft"	"Totalt"	1
"2001"	"Umeå västra landsbygd"	"Totalt"	"Totalt"	1545
"2001"	"Umeå västra landsbygd"	"I20-området"	"Totalt"	..
"2001"	"Tavelsjö"	"Berghem"	"Totalt"	4
"2001"	"Tavelsjö"	"Haga/Sandbacka"	"Totalt"	19
"2001"	"Tavelsjö"	"Centrala staden"	"Totalt"	165
"2001"	"Tavelsjö"	"Västerslätt"	"Totalt"	24
"2001"	"Tavelsjö"	"Ersboda/Ersmark"	"Totalt"	61
"2001"	"Tavelsjö"	"Backen"	"Totalt"	125
"2001"	"Tavelsjö"	"Umeå västra landsbygd"	"Totalt"	29
"2001"	"Tavelsjö"	"Tavelsjö"	"Totalt"	161
"2001"	"Tavelsjö"	"Teg"	"Totalt"	102
"2001"	"Tavelsjö"	"Umeå södra landsbygd"	"Totalt"	6
"2001"	"Tavelsjö"	"Östra stadsdelen"	"Totalt"	22
"2001"	"Tavelsjö"	"Marieområdet"	"Totalt"	36
"2001"	"Tavelsjö"	"Universitetsområdet"	"Totalt"	125
"2001"	"Tavelsjö"	"Tomteboområdet"	"Totalt"	2
"2001"	"Tavelsjö"	"Holmsund"	"Totalt"	9
"2001"	"Tavelsjö"	"Hörnefors"	"Totalt"	2
"2001"	"Tavelsjö"	"Sävar"	"Totalt"	9
"2001"	"Tavelsjö"	"Holmön"	"Totalt"	0
"2001"	"Tavelsjö"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Tavelsjö"	"Uppgift saknas"	"Totalt"	0
"2001"	"Tavelsjö"	"Ospecificerad arbetsplats"	"Totalt"	44
"2001"	"Tavelsjö"	"Arbetsplatsen saknar NYKO"	"Totalt"	7
"2001"	"Tavelsjö"	"Växlande arbetskraft"	"Totalt"	1
"2001"	"Tavelsjö"	"Totalt"	"Totalt"	953
"2001"	"Tavelsjö"	"I20-området"	"Totalt"	..
"2001"	"Teg"	"Berghem"	"Totalt"	28
"2001"	"Teg"	"Haga/Sandbacka"	"Totalt"	108
"2001"	"Teg"	"Centrala staden"	"Totalt"	1401
"2001"	"Teg"	"Västerslätt"	"Totalt"	192
"2001"	"Teg"	"Ersboda/Ersmark"	"Totalt"	295
"2001"	"Teg"	"Backen"	"Totalt"	338
"2001"	"Teg"	"Umeå västra landsbygd"	"Totalt"	44
"2001"	"Teg"	"Tavelsjö"	"Totalt"	5
"2001"	"Teg"	"Teg"	"Totalt"	1597
"2001"	"Teg"	"Umeå södra landsbygd"	"Totalt"	47
"2001"	"Teg"	"Östra stadsdelen"	"Totalt"	165
"2001"	"Teg"	"Marieområdet"	"Totalt"	129
"2001"	"Teg"	"Universitetsområdet"	"Totalt"	738
"2001"	"Teg"	"Tomteboområdet"	"Totalt"	20
"2001"	"Teg"	"Holmsund"	"Totalt"	92
"2001"	"Teg"	"Hörnefors"	"Totalt"	25
"2001"	"Teg"	"Sävar"	"Totalt"	23
"2001"	"Teg"	"Holmön"	"Totalt"	0
"2001"	"Teg"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Teg"	"Uppgift saknas"	"Totalt"	0
"2001"	"Teg"	"Ospecificerad arbetsplats"	"Totalt"	137
"2001"	"Teg"	"Arbetsplatsen saknar NYKO"	"Totalt"	22
"2001"	"Teg"	"Växlande arbetskraft"	"Totalt"	5
"2001"	"Teg"	"Totalt"	"Totalt"	5411
"2001"	"Teg"	"I20-området"	"Totalt"	..
"2001"	"Umeå södra landsbygd"	"Berghem"	"Totalt"	7
"2001"	"Umeå södra landsbygd"	"Haga/Sandbacka"	"Totalt"	38
"2001"	"Umeå södra landsbygd"	"Centrala staden"	"Totalt"	316
"2001"	"Umeå södra landsbygd"	"Västerslätt"	"Totalt"	80
"2001"	"Umeå södra landsbygd"	"Ersboda/Ersmark"	"Totalt"	98
"2001"	"Umeå södra landsbygd"	"Backen"	"Totalt"	122
"2001"	"Umeå södra landsbygd"	"Umeå västra landsbygd"	"Totalt"	23
"2001"	"Umeå södra landsbygd"	"Tavelsjö"	"Totalt"	3
"2001"	"Umeå södra landsbygd"	"Teg"	"Totalt"	349
"2001"	"Umeå södra landsbygd"	"Umeå södra landsbygd"	"Totalt"	222
"2001"	"Umeå södra landsbygd"	"Östra stadsdelen"	"Totalt"	42
"2001"	"Umeå södra landsbygd"	"Marieområdet"	"Totalt"	50
"2001"	"Umeå södra landsbygd"	"Universitetsområdet"	"Totalt"	259
"2001"	"Umeå södra landsbygd"	"Tomteboområdet"	"Totalt"	2
"2001"	"Umeå södra landsbygd"	"Holmsund"	"Totalt"	60
"2001"	"Umeå södra landsbygd"	"Hörnefors"	"Totalt"	13
"2001"	"Umeå södra landsbygd"	"Sävar"	"Totalt"	15
"2001"	"Umeå södra landsbygd"	"Holmön"	"Totalt"	0
"2001"	"Umeå södra landsbygd"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Umeå södra landsbygd"	"Uppgift saknas"	"Totalt"	0
"2001"	"Umeå södra landsbygd"	"Ospecificerad arbetsplats"	"Totalt"	34
"2001"	"Umeå södra landsbygd"	"Arbetsplatsen saknar NYKO"	"Totalt"	5
"2001"	"Umeå södra landsbygd"	"Växlande arbetskraft"	"Totalt"	1
"2001"	"Umeå södra landsbygd"	"Totalt"	"Totalt"	1739
"2001"	"Umeå södra landsbygd"	"I20-området"	"Totalt"	..
"2001"	"Östra stadsdelen"	"Berghem"	"Totalt"	45
"2001"	"Östra stadsdelen"	"Haga/Sandbacka"	"Totalt"	77
"2001"	"Östra stadsdelen"	"Centrala staden"	"Totalt"	877
"2001"	"Östra stadsdelen"	"Västerslätt"	"Totalt"	101
"2001"	"Östra stadsdelen"	"Ersboda/Ersmark"	"Totalt"	240
"2001"	"Östra stadsdelen"	"Backen"	"Totalt"	216
"2001"	"Östra stadsdelen"	"Umeå västra landsbygd"	"Totalt"	36
"2001"	"Östra stadsdelen"	"Tavelsjö"	"Totalt"	4
"2001"	"Östra stadsdelen"	"Teg"	"Totalt"	329
"2001"	"Östra stadsdelen"	"Umeå södra landsbygd"	"Totalt"	7
"2001"	"Östra stadsdelen"	"Östra stadsdelen"	"Totalt"	572
"2001"	"Östra stadsdelen"	"Marieområdet"	"Totalt"	118
"2001"	"Östra stadsdelen"	"Universitetsområdet"	"Totalt"	1472
"2001"	"Östra stadsdelen"	"Tomteboområdet"	"Totalt"	56
"2001"	"Östra stadsdelen"	"Holmsund"	"Totalt"	75
"2001"	"Östra stadsdelen"	"Hörnefors"	"Totalt"	11
"2001"	"Östra stadsdelen"	"Sävar"	"Totalt"	25
"2001"	"Östra stadsdelen"	"Holmön"	"Totalt"	0
"2001"	"Östra stadsdelen"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Östra stadsdelen"	"Uppgift saknas"	"Totalt"	0
"2001"	"Östra stadsdelen"	"Ospecificerad arbetsplats"	"Totalt"	127
"2001"	"Östra stadsdelen"	"Arbetsplatsen saknar NYKO"	"Totalt"	19
"2001"	"Östra stadsdelen"	"Växlande arbetskraft"	"Totalt"	15
"2001"	"Östra stadsdelen"	"Totalt"	"Totalt"	4422
